parliament,bill_number,bill_title,url_title,sponsor_name1,sponsor_title1,sponsor_name2,sponsor_title2,sponsor_name3,sponsor_title3,sponsor_name4,sponsor_title4,sponsor_name5,sponsor_title5,sponsor_name6,sponsor_title6,sponsor_name7,sponsor_title7,sponsor_name8,sponsor_title8
"43rd Parliament, 1st Session",1,An Act to perpetuate an ancient parliamentary right,https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-1,"Ford, Hon. Doug",Premier,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR1,"Sapore Di Calabria Inc. Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr1,"West, Jamie",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR2,"405456 Ontario Limited Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr2,"McMahon, Mary-Margaret",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",2,"Plan to Build Act (Budget Measures), 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-2,"Bethlenfalvy, Hon. Peter",Minister of Finance,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR3,"1204755 Ontario Limited Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr3,"Vanthof, John",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",3,"Strong Mayors, Building Homes Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-3,"Clark, Steve",Minister of Municipal Affairs and Housing,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR4,"Quadcard Entertainment Ltd. Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr4,"French, Jennifer K.",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",4,"Stay Home If You Are Sick Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-4,"Sattler, Peggy",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR5,"H.B. Arndt & Associates Ltd. Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr5,"Sattler, Peggy",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",5,"Stopping Harassment and Abuse by Local Leaders Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-5,"Blais, Stephen",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",6,"Foreign Credentials Advisory Committee Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-6,"Collard, Lucille",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR6,"Nextblock Inc. Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr6,"Bell, Jessica",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR7,"Welberne Holding Corp. Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr7,"Kernaghan, Terence",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",7,"More Beds, Better Care Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-7,"Calandra, Hon. Paul",Minister of Long-Term Care,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR8,"1748317 Ontario Inc. Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr8,"Khanjin, Hon. Andrea",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",8,"Anti-Money Laundering in Housing Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-8,"Bell, Jessica",,"Karpoche, Bhutila",,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR9,"933834 Ontario Limited Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr9,"Khanjin, Hon. Andrea",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",9,"Safe and Healthy Communities Act (Addressing Gun Violence), 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-9,"Hunter, Mitzie",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",10,"Publication of Mandate Letters Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-10,"Shamji, Adil",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR10,"Maizal Tortilleria Inc. Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr10,"Glover, Chris",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",11,"Speaking Out About, and Reporting On, Workplace Violence and Harassment Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-11,"Gélinas, France",,"Andrew, Jill",,"Bell, Jessica",,"Lindo, Laura Mae",,,,,,,,,
"43rd Parliament, 1st Session",PR11,"2103890 Ontario Limited Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr11,"Bell, Jessica",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",PR12,"Artgem Granite and Marble Inc. Act, 2023",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr12,"Pang, Billy",,,,,,,,,,,,,,,
"43rd Parliament, 1st Session",12,"Ending Automobile Insurance Discrimination in the Greater Toronto Area Act, 2022",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-12,"Rakocevic, Tom",,"Begum, Doly",,"Stiles, Marit",,,,,,,,,,,
