parliament,bill_number,bill_title,date,bill_stage,activity,committee
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,1,An Act to perpetuate an ancient parliamentary right,"August 9, 2022",First Reading,Ordered for Second Reading,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,1,An Act to perpetuate an ancient parliamentary right,"August 9, 2022",First Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","March 2, 2023",Royal Assent,Royal Assent received,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","March 1, 2023",Third Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","March 1, 2023",Third Reading,Question put,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","March 1, 2023",Second Reading,Ordered for Third Reading,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","March 1, 2023",Second Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","March 1, 2023",Second Reading,Question put,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","August 29, 2022",First Reading,Ordered for Second Reading,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR1,"Sapore Di Calabria Inc. Act, 2023","August 29, 2022",First Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","December 8, 2022",Royal Assent,Royal Assent received,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","December 7, 2022",Third Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","December 7, 2022",Third Reading,Question put,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","December 7, 2022",Second Reading,Ordered for Third Reading,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","December 7, 2022",Second Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","December 7, 2022",Second Reading,Question put,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","November 14, 2022",First Reading,Ordered for Second Reading,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","November 14, 2022",First Reading,Report adopted,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","November 14, 2022",First Reading,Reported without amendment,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","November 3, 2022",First Reading,Consideration of a Bill,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","September 7, 2022",First Reading,Ordered referred to Standing Committee,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","September 7, 2022",First Reading,Order for Second Reading discharged,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,PR2,"405456 Ontario Limited Act, 2022","August 25, 2022",First Reading,Vote,Carried
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","September 8, 2022",Royal Assent,Royal Assent received,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","September 1, 2022",Third Reading,Vote,Carried on division
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 31, 2022",Third Reading,Question put,Vote deferred
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 31, 2022",Third Reading,Debated,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 30, 2022",Second Reading,Ordered for Third Reading pursuant to the Order of the House,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 30, 2022",Second Reading,Vote,Carried on division
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 29, 2022",Second Reading,Question put,Vote deferred
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 29, 2022",Second Reading,Time allocated,-
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 18, 2022",Second Reading,Debated,Debate adjourned
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 18, 2022",Second Reading,Debated,Debate adjourned
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 17, 2022",Second Reading,Debated,Debate adjourned
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 11, 2022",Second Reading,Debated,Debate adjourned
https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,2,"Plan to Build Act (Budget Measures), 2022","August 9, 2022",First Reading,Ordered for Second Reading,-
